entity,P2963
Q80900,704
Q295431,1462
Q316048,15543
Q7279294,10727
Q862,11563
Q46599,15538
Q20722746,3358
Q76710,192604
Q106740,8734
Q333653,13110
Q558425,24690
Q909,500
Q95747309,2809346
Q156268,45739
Q157322,32807
Q465208,3670
Q1043078,230305
Q12807,1730
Q41568,17241
Q269982,18874
Q310048,233
Q311145,22458
Q314215,2918
Q334219,17350
Q1086549,16903
Q31984,26090
Q72519,341701
Q93354,3190
Q105756,6878
Q115674,6944
Q123078,205
Q127876,643
Q151820,7869
Q153248,163
Q161819,6781
Q176909,337
Q187019,463
Q187765,147
Q205772,256
Q207544,3242
Q218698,3352
Q233046,26
Q235291,1237
Q235899,4766
Q235615,457
Q257261,106
Q268755,25
Q271931,14160
Q287460,25249
Q299933,110206
Q310155,7
Q311132,18708
Q312853,545
Q312782,15441
Q313193,12470
Q313981,575
Q314158,3314
Q319084,13311
Q319447,11121
Q370973,82260
Q379806,12878
Q384863,14465
Q442008,1476
Q448767,11012
Q531711,1318
Q551429,10284
Q942627,33
Q943997,32276
Q957931,9346
Q1248144,380
Q1287494,15877
Q1352236,12465
Q1573989,54521
Q1754402,37001
Q2166142,49734
Q2320966,13099
Q2390663,2285
Q2460840,3995
Q2550486,3
Q2549643,1070
Q3113265,17729
Q3176182,24386
Q3375158,31723
Q3431128,21732
Q5043564,33921
Q5145275,359
Q5387393,68537
Q5525360,62713
Q6369684,17450
Q6397659,444
Q6770249,14
Q6812633,7375
Q9290037,51477
Q15312296,47287
Q15813994,350
Q501,13847
Q1868,1764641
Q4441,7440
Q7934,58
Q18430,6426
Q23,4356
Q42,4
Q91,229
Q110814514,45940
Q207515,7963
Q1276,52060
Q44301,7855
Q76409,13275
Q119546,1899
Q130780,1418
Q132524,432
Q134798,3354
Q194614,6264
Q212801,6134
Q217069,607
Q225089,3621
Q234443,7128
Q234819,6410
Q236829,4260
Q239307,60750
Q237684,41354
Q251215,49973
Q254635,16496
Q313077,91
Q313489,4820
Q313377,12455
Q315910,34299
Q353101,75823
Q354125,11789
Q445930,11761
Q460425,3530
Q469464,30654
Q472272,695
Q523406,7374
Q526555,503224
Q529735,40593
Q555578,40468
Q636037,607
Q649863,34993
Q717602,6995
Q793895,11091
Q922071,13026
Q937000,11390
Q962004,47834
Q969363,3622
Q983568,9833
Q1082789,3626
Q1141956,14442
Q1382375,55325
Q1933136,5289
Q1984899,1391
Q2144098,43586
Q2939843,12454
Q3400803,1218
Q3513911,7102
Q3616265,8214
Q4383379,1448
Q4686975,221019
Q5111966,66477
Q5417079,60736
Q5606570,15035
Q6213326,25202
Q6228759,120711
Q7513133,6633
Q7668365,49962
Q13129962,80165
Q15098570,90579
Q47168245,346
Q63441224,8627
Q1058,4582994
Q6101,9262
Q7345,630
Q5879,285217
Q18391,1049
Q26825,901
Q48305,973
Q60815,509
Q94279311,176
Q108940180,88500
Q109265142,1741
Q112407585,36853
Q73506,10108
Q76498,15619
Q90238,12222
Q115483,6530
Q131018,11029
Q166351,6252
Q184785,7577
Q181900,10303
Q191050,14403
Q231356,625
Q234865,9559
Q228624,153394
Q234700,14032
Q235368,10673
Q271111,15590
Q283659,1257
Q298417,12672
Q311654,776
Q313038,10482
Q347461,12476
Q351436,10311
Q432728,614
Q430900,13893
Q460187,8649
Q457185,12980
Q467428,6162
Q495420,9291
Q569003,1195
Q588692,9843
Q669468,1483
Q677706,7105
Q737768,817
Q742632,12577
Q960778,13502
Q1215607,15429
Q1306701,6333
Q1349297,822
Q1562897,88099
Q1740117,13878
Q1985045,772
Q2102180,11187
Q3489578,96426
Q4726063,11087
Q5219034,93220
Q5489059,6931
Q7546,125406
Q83003,2438
Q83059,4391
Q146763,18134
Q157004,39317
Q158092,26260
Q188093,36910
Q190220,3618
Q204868,43298
Q205739,3961
Q257723,4376
Q266611,2761
Q267748,3222
Q276472,42408
Q301632,3651
Q306514,17245
Q313246,4339
Q316138,16939
Q317512,17835
Q318487,2887
Q323353,2989
Q366575,401
Q378878,2331
Q432087,2542
Q433322,42852
Q437363,393
Q437718,3449
Q448399,20268
Q450346,3525
Q452963,24818
Q457371,1631
Q458618,2934
Q463182,38849
Q464835,4543
Q465011,2042
Q517809,47290
Q532336,2987
Q533343,2665
Q683445,3119
Q766826,32674
Q809078,4264
Q937084,27379
Q1077137,28010
Q1243147,4649
Q2608419,2635
Q3030493,4952
Q3190911,406158
Q3494468,41812
Q5585778,2124
Q6169148,17357
Q6551501,36071
Q6831959,24197
Q7437294,34300
Q7814970,18212
Q48806537,3040694
Q16867,4624490
Q25161,4273
Q44593,3989
Q47561,2147
Q61198,4000
Q94427719,293549
Q47755,26496
Q67216,190305
Q68795,1636044
Q69679,331587
Q157309,18395
Q188113,19766
Q200760,3340
Q209873,197590
Q220480,15151
Q229369,16094
Q230762,3317
Q234403,25307
Q241714,15292
Q251123,29503
Q256821,15890
Q266947,27841
Q288721,168663
Q311037,238401
Q319196,33918
Q350734,23023
Q445660,34394
Q447658,25740
Q481871,18710
Q505123,17613
Q506958,161986
Q530602,18934
Q545375,23129
Q703476,18253
Q709368,2278
Q725065,22631
Q961972,3151
Q1134293,2826
Q1148729,187415
Q1174579,29101
Q1226282,16893
Q1347163,17739
Q1396589,22712
Q1677403,28828
Q2009881,2347
Q5622172,12404
Q6767194,13000
Q7346487,6243
Q7611827,12030
Q7705078,8155
Q7791151,659
Q7788195,14055
Q7934375,15450
Q15485587,12678
Q16211332,150288
Q7245,1244
Q9364,1466
Q11806,1480
Q23434,1455
Q25973,1113469
Q34836,6926
Q36322,1265
Q40640,1630
Q45765,1240
Q48226,12080
Q66162,11343
Q106465,721
Q123469,7330
Q123811,1506
Q158060,10710
Q179126,1606
Q193871,455
Q220450,11586
Q232359,3090
Q239923,5918
Q240212,9987
Q262170,2848
Q272205,6376
Q272194,996
Q272638,2046
Q298229,9550
Q309850,1642
Q328338,9212
Q332417,97184
Q364901,4738
Q366281,72295
Q372533,7195
Q443055,4229
Q455510,14454
Q497454,10082
Q562163,27100
Q733850,77616
Q734340,40561
Q809050,9465
Q861984,2606
Q922053,8944
Q975547,5116
Q1191315,12537
Q1316719,403
Q1351152,243
Q1372312,12339
Q1700895,100512
Q2002314,34170
Q2268794,12405
Q2693491,34111
Q2851598,39437
Q2941863,1239
Q3218743,12087
Q3491146,19630
Q4790430,11286
Q5161928,7137
Q5297898,16267
Q5341927,51535
Q5533066,4367
Q6370079,24586
Q6380527,3501
Q6780053,5619
Q6847725,2607
Q7151402,12647
Q7177517,32430
Q7456556,44918
Q7626839,8363
Q7965359,15544
Q10295252,12677
Q13563022,97284
Q16150551,5478
Q57418844,1254192
Q61792096,97160
Q5816,4797485
Q6512,6172
Q6950,18149
Q7543,4035
Q7235,1002
Q19526,3503
Q25089,10356
Q34933,289
Q35155,235
Q44520,8249
Q46248,1654
Q100334242,31722
Q112124734,97270
Q112125733,18986
Q2055564,15907
Q2067410,26181
Q2959848,336374
Q3051213,3420
Q3169240,24710
Q3304340,29593
Q3336395,34261
Q3898198,18371
Q4909245,3235
Q5214688,2358
Q5257664,25893
Q5335618,15420
Q6526608,149082
Q7151694,28996
Q7175567,31308
Q7279300,164139
Q7284537,21618
Q7390666,1683324
Q12423932,170980
Q19826737,324500
Q23035402,266734
Q65129815,18384
Q4985,1624
Q5683,1838
Q39803,22515
Q44584,17384
Q57971,15873
Q61723,212581
Q63309,256362
Q64587,204497
Q81448592,207270
Q104777977,246818
Q123195279,2359
Q81071,14473
Q82925,3345
Q123053,49
Q140052,2522
Q140694,465
Q182047,60
Q182788,5103
Q186273,6526
Q211987,466
Q217110,589
Q232212,1973
Q258741,2530
Q262502,20357
Q267691,238
Q272492,3617
Q292180,267
Q297425,3030
Q310257,1432
Q312467,3948807
Q313482,1538
Q319189,6440
Q320767,7919
Q325130,8726
Q353137,868
Q356357,1050
Q357108,1467
Q368337,1235
Q382460,1201
Q435262,4183
Q437123,26414
Q444065,12535
Q452246,13741
Q450845,2526
Q452404,197
Q465028,1452
Q529082,2508
Q712191,2313
Q718463,18
Q722103,8170
Q732434,90
Q929268,80702
Q952181,28952
Q1157861,20
Q1165426,81319
Q1701049,40
Q2481520,4928
Q2754419,50690
Q2893079,14053
Q3663596,109204
Q3784504,1843
Q5113035,6846
Q5340732,90380
Q5981257,82722
Q6231557,1236
Q6396491,193
Q6759825,28970
Q7147004,11503
Q7160508,24403
Q8071937,27
Q13563142,13633
Q54805395,127096
Q64734869,21129
Q410,10538
Q1151,27838
Q1511,13890
Q6527,7994
Q9358,1938
Q60025,12806
Q110979352,14482
Q113085303,58622
Q76546,6519
Q85361,11572
Q71714,117748
Q93815,11590
Q114509,4999
Q113105,10401
Q176558,5209
Q178369,1058
Q183492,3472
Q180223,6247
Q193674,33200
Q189564,5387
Q191023,57189
Q193116,569
Q205242,60281
Q214660,10039
Q232810,1567
Q239934,316
Q239911,5672
Q240547,2384
Q234718,9432
Q241583,2751
Q237514,5300
Q254820,4415
Q259200,6104
Q263648,12075
Q266075,20513
Q265270,52310
Q272855,4280
Q286116,10992
Q288198,10333
Q297510,24346
Q292552,8546
Q295589,908
Q310111,10229
Q310176,11337
Q311755,2383
Q316313,3305
Q316610,12534
Q346805,17216
Q361149,23069
Q434164,13234
Q443109,19475
Q451136,2749
Q453427,2560
Q505154,13113
Q513262,30830
Q519984,588
Q550462,4794
Q611672,1055
Q659409,46742
Q726194,6098
Q1006152,13641
Q1152905,317
Q1175150,28978
Q1226328,3545
Q1372993,5690
Q1374829,37449
Q1898912,13550
Q2256834,29731
Q2865022,26399
Q3312178,17134
Q3379844,41799
Q3701871,22318
Q3900936,26904
Q3938269,12879
Q4356114,2713
Q4731745,3087
Q4908271,2495
Q5130292,1792
Q6198081,21550
Q7301913,11220
Q7327210,20607
Q7611785,28596
Q15463449,12733
Q16730300,44821
Q5686,239579
Q15975,4449652
Q16285,30195
Q16397,32579
Q12908,76751
Q13914,811
Q17892,59712
Q20951,502953
Q23685,6113
Q24302,9950
Q28170,5791
Q37151,1771
Q38222,3231
Q43444,1461
Q43736,8550
Q44107,965
Q47484,7617
Q55800,3518
Q49072,9020
Q50020,57651
Q63193,35595
Q63670,2766
Q48379,11160
Q120648616,53340
Q78159947,146356
Q108170351,111333
Q124734131,70845
Q272622,10015
Q273210,10427
Q298827,9057
Q314256,7921
Q319820,9657
Q457923,5282
Q462266,41542
Q467169,6637
Q468523,68992
Q518084,3275
Q535252,32401
Q553137,6569
Q589497,3371
Q645406,3324
Q713778,4432
Q720317,33262
Q732338,3539
Q737570,9233
Q795238,52280
Q863057,438
Q1087159,61015
Q1189595,61918
Q1346126,61958
Q1442418,445
Q2473242,46786
Q3050726,4419381
Q3117328,54290
Q3195197,60623
Q3309228,45763
Q3754369,32360
Q4772725,5752
Q5372276,10413
Q6175118,58133
Q7342943,50344
Q8023184,6810
Q15429061,53181
Q15485502,579181
