entity,P172
Q106513,Q7325
Q138007,Q7325
Q270670,Q7325
Q75786,Q7325
Q75856,Q7325
Q84233,Q7325
Q92621,Q7325
Q104000,Q7325
Q106336,Q7325
Q119546,Q7325
Q132524,Q7325
Q160163,Q7325
Q168509,Q7325
Q174438,Q7325
Q180251,Q7325
Q181900,Q7325
Q215866,Q7325
Q215967,Q7325
Q219634,Q7325
Q232301,Q7325
Q263730,Q7325
Q266583,Q7325
Q273385,Q7325
Q302139,Q7325
Q302639,Q7325
Q309850,Q7325
Q313048,Q7325
Q315910,Q7325
Q905,Q7325
Q4605,Q7325
Q17522,Q7325
Q34981,Q7325
Q57386,Q7325
Q61723,Q7325
Q103388768,Q1173
Q374117,Q7325
Q471443,Q7325
Q319189,Q7325
Q319447,Q7325
Q323063,Q7325
Q325945,Q7325
Q330404,Q7325
Q330740,Q7325
Q330775,Q7325
Q330821,Q7325
Q366715,Q7325
Q380900,Q7325
Q426582,Q7325
Q455840,Q7325
Q458707,Q7325
Q458714,Q7325
Q461507,Q7325
Q504652,Q7325
Q528415,Q7325
Q551075,Q7325
Q694433,Q7325
Q702268,Q7325
Q326299,Q7325
Q448948,Q7325
Q449030,Q7325
Q520751,Q7325
Q83277674,Q7325
Q87834742,Q7325
Q725828,Q7325
Q1273621,Q7325
Q1506958,Q7325
Q26137606,Q7325
Q82925,Q1026
Q121180,Q1026
Q214138,Q408
Q325993,Q1026
Q463423,Q1026
Q925452,Q7325
Q958986,Q7325
Q1233679,Q7325
Q1234985,Q21
Q1392335,Q1026
Q4703712,Q1026
Q6373175,Q1026
Q9154711,Q1026
Q9369882,Q1026
Q11736365,Q1026
Q16830191,Q1026
Q17648244,Q1026
Q40331655,Q1026
Q989,Q1026
Q18978,Q1026
Q61962,Q1026
Q100213398,Q30
Q115452036,Q1026
Q1161320,Q7325
Q4311974,Q7325
Q4829441,Q7325
Q5615571,Q7325
Q22137197,Q7325
Q20983294,Q7325
Q28464286,Q7325
Q106372495,Q7325
Q108028197,Q7325
Q108036804,Q7325
Q108075208,Q7325
Q108462163,Q7325
Q108901315,Q7325
Q111459370,Q7325
Q111671506,Q7325
Q111686797,Q7325
Q112467938,Q7325
Q712555,Q9129
Q21923151,Q8060
Q33279366,Q8060
Q37868924,Q8060
Q59710155,Q7325
Q63341514,Q7325
Q87726419,Q8060
Q88536404,Q8060
Q95485618,Q8060
Q106300691,Q8060
Q106894057,Q8060
Q106894195,Q8060
Q108177743,Q8060
Q110854078,Q8060
Q114766300,Q9043
Q114766300,Q9142
Q116886642,Q7325
Q116898000,Q7325
Q117765774,Q7325
Q118917090,Q7325
Q118924772,Q7325
Q2887093,Q7325
Q2917896,Q7325
Q3090020,Q7325
Q3185084,Q7325
Q6970636,Q7325
Q16338463,Q7325
Q94288901,Q7325
Q95141980,Q7325
Q96214995,Q7325
Q96808054,Q7325
Q97155734,Q7325
Q99485265,Q7325
Q105679267,Q7325
Q105750236,Q7325
Q725384,Q7325
Q732474,Q7325
Q733619,Q7325
Q762229,Q7325
Q786429,Q7325
Q828097,Q7325
Q832201,Q7325
Q870734,Q7325
Q913414,Q7325
Q953481,Q7325
Q959910,Q7325
Q982050,Q7325
Q982194,Q7325
Q1058991,Q7325
Q1061624,Q7325
Q1174579,Q7325
Q1296489,Q7325
Q1332266,Q7325
Q1333734,Q7325
Q1348546,Q7325
Q1391474,Q7325
Q1554208,Q7325
Q1560776,Q7325
Q1706130,Q7325
Q1708927,Q7325
Q1791390,Q7325
Q1965178,Q7325
Q2070174,Q7325
Q2169734,Q7325
Q2177188,Q7325
Q2348632,Q7325
Q2358343,Q7325
Q2364987,Q7325
Q2391214,Q7325
Q2776972,Q7325
Q2821862,Q7325
Q2874503,Q7325
Q2906881,Q7325
Q2912055,Q7325
Q3118802,Q7325
Q3446454,Q7325
Q4063354,Q7325
Q4089838,Q7325
Q4116838,Q7325
Q4669267,Q7325
Q4669292,Q7325
Q4828821,Q7325
Q4865880,Q7325
Q4865881,Q7325
Q5039017,Q7325
Q5067818,Q7325
Q5241455,Q7325
Q6302161,Q7325
Q6302174,Q7325
Q6529022,Q7325
Q6565880,Q7325
Q6578241,Q7325
Q6815771,Q7325
Q6967484,Q7325
Q6979408,Q7325
Q6982823,Q7325
Q7233597,Q7325
Q7394840,Q7325
Q7539431,Q7325
Q7927679,Q7325
Q7943709,Q7325
Q9138405,Q7325
Q11686388,Q7325
Q12168230,Q7325
Q12174247,Q7325
Q12407404,Q7325
Q14949473,Q7325
Q16191267,Q7325
Q16904793,Q7325
Q18121712,Q7325
Q18543887,Q7325
Q19857144,Q7325
Q20502552,Q7325
Q23944637,Q7325
Q25488453,Q7325
Q25490125,Q7325
Q30068193,Q7325
Q43295474,Q7325
Q47524639,Q7325
Q74555986,Q7325
Q78804576,Q7325
Q79227292,Q7325
Q112563937,Q7325
Q115452036,Q7325
Q167832,Q33938
Q566072,Q7325
Q61136253,Q33543
Q256257,Q8060
Q3512494,Q8060
Q22344713,Q1026
Q49159355,Q7325
Q54670855,Q7325
Q57078707,Q7325
Q58198556,Q7325
Q58640138,Q7325
Q60029185,Q7325
Q61457270,Q7325
Q85998071,Q7325
Q86741619,Q7325
Q89588536,Q7325
Q91059534,Q7325
Q93886059,Q7325
Q104000,Q34069
Q152441,Q34069
Q153034,Q34069
Q156201,Q34069
Q179282,Q34069
Q2910910,Q34069
Q4886439,Q34069
Q11991537,Q34069
Q9049,Q34069
Q9061,Q34069
Q12908,Q34069
Q111015355,Q33938
Q620935,Q33543
Q7036822,Q26774
Q12828047,Q25285
Q66827150,Q22633
Q114766300,Q33390
Q123684694,Q18973
Q123882623,Q18973
Q9154711,Q7325
Q12411921,Q7325
Q12734513,Q7325
Q128746,Q7325
Q272426,Q8060
Q311462,Q12223
Q316086,Q13343
Q327142,Q12223
Q1991462,Q18973
Q2933169,Q12223
Q3877051,Q8060
Q4115227,Q12223
Q5039017,Q8060
Q7082627,Q8060
Q7186072,Q12223
Q12211006,Q12223
Q20507228,Q12223
Q23017059,Q18097
Q28501819,Q13354
Q61389386,Q12223
Q97467413,Q12223
Q110983409,Q18973
Q121888368,Q7325
Q124069765,Q12223
Q124077450,Q12223
Q124299832,Q12223
Q124395191,Q7325
Q124398186,Q7325
Q124398264,Q7325
Q124399996,Q7325
Q124418463,Q7325
Q124418496,Q7325
Q124418630,Q7325
Q124418845,Q7325
Q124515662,Q15863
Q124625722,Q7325
Q124728435,Q12223
Q124987286,Q12223
Q125177538,Q12223
Q125218286,Q12223
Q125398997,Q12223
Q125487478,Q12223
Q3267318,Q8060
Q81939428,Q7325
Q53340679,Q34069
Q111494496,Q34311
Q435320,Q40477
Q1707608,Q36747
Q5830870,Q41477
Q16009928,Q37014
Q16144697,Q36747
Q84399564,Q36550
Q101006907,Q36411
Q124851192,Q35323
Q123463731,Q7325
Q71149002,Q41477
Q2623057,Q7325
Q96084388,Q7325
Q124608262,Q12223
Q125353023,Q12223
Q400930,Q35323
Q42844775,Q7325
Q293497,Q35323
